Route_name,Route_link
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Lucknow to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Prayagraj(Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Lucknow to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-bareilly
Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
Ayodhya to Allahabad,https://www.redbus.in/bus-tickets/ayodhya-to-allahabad
Prayagraj(Uttar Pradesh) to Ayodhya,https://www.redbus.in/bus-tickets/allahabad-to-ayodhya
Bareilly (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Prayagraj(Uttar Pradesh) to Varanasi,https://www.redbus.in/bus-tickets/allahabad-to-varanasi
Varanasi to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/varanasi-to-allahabad
Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi
Pilibhit to Delhi,https://www.redbus.in/bus-tickets/pilibhit-to-delhi
Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow
Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
Kanpur (Uttar Pradesh) to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/kanpur-to-bareilly
Varanasi to Ayodhya,https://www.redbus.in/bus-tickets/varanasi-to-ayodhya
Lucknow to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-kanpur
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
Kanpur (Uttar Pradesh) to Jhansi(Uttar Pradesh),https://www.redbus.in/bus-tickets/kanpur-to-jhansi
Ayodhya to Varanasi,https://www.redbus.in/bus-tickets/ayodhya-to-varanasi
Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
Lucknow to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-aligarh-uttar-pradesh
Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
Haldwani to Delhi,https://www.redbus.in/bus-tickets/haldwani-to-delhi
Agra to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/agra-to-bareilly
Bareilly (Uttar Pradesh) to Agra,https://www.redbus.in/bus-tickets/bareilly-to-agra
Shahjahanpur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
Aligarh (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
Delhi to Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit
Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura
Varanasi to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/varanasi-to-gorakhpur
Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra
Lucknow to Ayodhya,https://www.redbus.in/bus-tickets/lucknow-to-ayodhya
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Agra to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/agra-to-aligarh-uttar-pradesh
Delhi to Haldwani,https://www.redbus.in/bus-tickets/delhi-to-haldwani
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
